iter	Passed	Remaining
0	129	129592
1	134	67239
2	140	46773
3	145	36344
4	150	29980
5	157	26040
6	162	23010
7	167	20713
8	171	18922
9	176	17472
10	184	16612
11	190	15659
12	196	14943
13	201	14200
14	206	13558
15	214	13187
16	218	12662
17	224	12263
18	230	11906
19	235	11531
20	242	11294
21	245	10913
22	248	10555
23	251	10212
24	254	9923
25	256	9616
26	258	9325
27	260	9041
28	261	8772
29	263	8530
30	265	8299
31	267	8079
32	269	7896
33	270	7696
34	272	7507
35	273	7323
36	274	7149
37	275	6981
38	276	6822
39	277	6670
40	278	6525
41	280	6387
42	281	6257
43	283	6154
44	284	6033
45	285	5914
46	286	5802
47	287	5693
48	288	5589
49	288	5490
50	289	5395
51	290	5302
52	291	5212
53	292	5126
54	293	5043
55	294	4963
56	295	4886
57	297	4834
58	298	4765
59	299	4696
60	300	4627
61	301	4561
62	302	4498
63	303	4436
64	304	4376
65	305	4318
66	306	4263
67	307	4208
68	307	4154
69	308	4101
70	309	4052
71	310	4003
72	312	3965
73	313	3919
74	314	3875
75	315	3834
76	316	3790
77	317	3748
78	317	3706
79	318	3666
80	319	3626
81	320	3587
82	320	3545
83	321	3509
84	322	3473
85	323	3439
86	324	3405
87	325	3373
88	327	3353
89	328	3326
90	329	3295
91	330	3266
92	331	3236
93	332	3207
94	333	3178
95	334	3151
96	335	3123
97	336	3096
98	337	3068
99	338	3044
100	339	3020
101	340	2995
102	341	2976
103	342	2954
104	343	2931
105	344	2907
106	345	2885
107	346	2862
108	347	2840
109	348	2818
110	349	2796
111	349	2774
112	350	2754
113	351	2734
114	352	2714
115	353	2695
116	354	2674
117	355	2654
118	356	2635
119	357	2624
120	358	2606
121	359	2587
122	360	2570
123	361	2552
124	362	2534
125	362	2517
126	363	2500
127	365	2487
128	366	2472
129	367	2456
130	367	2441
131	368	2426
132	369	2411
133	371	2401
134	372	2387
135	373	2373
136	374	2359
137	375	2345
138	376	2332
139	377	2320
140	378	2307
141	379	2293
142	380	2280
143	381	2267
144	382	2254
145	383	2241
146	384	2228
147	384	2216
148	393	2246
149	394	2234
150	395	2221
151	396	2209
152	396	2197
153	397	2185
154	398	2173
155	399	2162
156	400	2150
157	401	2140
158	403	2131
159	403	2120
160	404	2108
161	405	2097
162	406	2086
163	407	2075
164	408	2065
165	408	2054
166	409	2044
167	410	2033
168	411	2023
169	412	2013
170	413	2003
171	414	1993
172	414	1983
173	415	1974
174	417	1969
175	418	1960
176	419	1951
177	420	1942
178	421	1933
179	422	1924
180	423	1915
181	424	1906
182	425	1897
183	426	1889
184	426	1880
185	427	1871
186	428	1863
187	429	1855
188	430	1846
189	432	1843
190	433	1835
191	434	1827
192	434	1818
193	435	1810
194	436	1802
195	437	1794
196	438	1786
197	439	1779
198	440	1771
199	440	1763
200	441	1756
201	442	1749
202	443	1741
203	444	1734
204	445	1728
205	447	1725
206	448	1719
207	449	1713
208	450	1706
209	452	1700
210	453	1694
211	454	1687
212	455	1681
213	456	1675
214	456	1668
215	458	1662
216	459	1656
217	460	1650
218	461	1646
219	462	1641
220	463	1634
221	464	1628
222	465	1622
223	466	1616
224	467	1610
225	468	1604
226	469	1598
227	470	1592
228	471	1586
229	472	1581
230	473	1575
231	474	1570
232	475	1564
233	476	1560
234	477	1555
235	478	1550
236	479	1544
237	480	1538
238	481	1533
239	482	1527
240	483	1522
241	484	1516
242	485	1511
243	486	1506
244	487	1500
245	487	1495
246	488	1489
247	489	1484
248	490	1478
249	492	1476
250	493	1471
251	493	1466
252	494	1461
253	495	1456
254	496	1450
255	497	1445
256	498	1440
257	499	1435
258	500	1430
259	505	1437
260	509	1443
261	516	1453
262	521	1462
263	526	1468
264	534	1483
265	539	1487
266	547	1502
267	551	1507
268	557	1513
269	564	1526
270	569	1531
271	574	1536
272	577	1537
273	580	1537
274	582	1536
275	585	1534
276	587	1533
277	590	1534
278	592	1530
279	594	1527
280	595	1524
281	597	1520
282	598	1517
283	600	1513
284	601	1508
285	602	1504
286	605	1503
287	606	1499
288	607	1495
289	608	1490
290	610	1486
291	611	1481
292	612	1477
293	613	1472
294	614	1468
295	615	1463
296	616	1458
297	617	1454
298	619	1451
299	620	1447
300	621	1442
301	622	1437
302	623	1433
303	623	1428
304	624	1424
305	626	1419
306	626	1415
307	627	1410
308	628	1405
309	629	1401
310	630	1396
311	631	1392
312	632	1387
313	634	1387
314	636	1383
315	636	1378
316	637	1374
317	638	1369
318	639	1365
319	640	1361
320	641	1356
321	642	1352
322	643	1348
323	644	1344
324	645	1340
325	646	1335
326	647	1331
327	647	1327
328	649	1324
329	650	1320
330	651	1315
331	652	1311
332	653	1308
333	653	1303
334	654	1299
335	655	1295
336	656	1291
337	657	1287
338	658	1283
339	659	1279
340	659	1275
341	660	1271
342	661	1267
343	663	1266
344	665	1262
345	665	1258
346	666	1254
347	667	1251
348	668	1247
349	669	1243
350	670	1239
351	671	1235
352	672	1232
353	673	1228
354	673	1224
355	674	1220
356	675	1217
357	676	1213
358	677	1210
359	679	1207
360	680	1203
361	680	1200
362	681	1196
363	682	1193
364	683	1189
365	684	1185
366	685	1182
367	686	1178
368	687	1175
369	688	1171
370	689	1168
371	689	1164
372	690	1161
373	691	1157
374	693	1156
375	694	1153
376	695	1149
377	696	1146
378	697	1142
379	698	1139
380	699	1136
381	700	1132
382	701	1129
383	702	1126
384	702	1122
385	703	1119
386	704	1116
387	705	1113
388	706	1110
389	709	1109
390	710	1106
391	711	1103
392	712	1100
393	713	1096
394	714	1093
395	714	1090
396	715	1087
397	716	1083
398	717	1080
399	718	1077
400	719	1074
401	720	1071
402	720	1067
403	721	1064
404	724	1063
405	725	1061
406	726	1057
407	726	1054
408	727	1051
409	728	1048
410	729	1045
411	730	1042
412	731	1039
413	732	1036
414	733	1033
415	734	1030
416	734	1027
417	735	1024
418	736	1021
419	737	1018
420	738	1016
421	739	1013
422	740	1010
423	741	1007
424	742	1004
425	743	1001
426	743	998
427	744	995
428	745	992
429	746	989
430	747	986
431	748	983
432	749	980
433	749	978
434	750	975
435	751	972
436	753	971
437	755	969
438	756	966
439	757	963
440	758	960
441	759	958
442	759	955
443	760	952
444	761	949
445	762	947
446	763	944
447	764	941
448	765	939
449	766	936
450	766	933
451	769	932
452	769	929
453	770	926
454	771	924
455	772	921
456	773	919
457	774	916
458	775	913
459	776	911
460	777	908
461	778	906
462	778	903
463	779	900
464	780	898
465	781	895
466	782	893
467	784	891
468	785	889
469	786	887
470	787	884
